filename,Language,text_english
00011.wav,Chinese,"When I was a child, I lived in an inland city surrounded by mountains and rivers, but I had never seen the real sea. In my heart, the sea is a dream, a world full of blue and waves. Last summer, my friends and I planned a trip to Hainan and finally had the opportunity to fulfill our dream. When the plane landed at Sanya Airport, I couldn't wait to head towards the beach. The next morning, we got up early and drove to Sanya Bay. As the car approached the coastline, I saw a deep blue ocean appear before my eyes. Its vastness and calmness made me hold my breath. The sunshine sprinkled on the sea surface, like a layer of gold powder. My friends and I couldn't wait to get off the car and stepped on the soft sand, feeling the delicate touch of sand sliding through our fingers. But by the beach, I heard the real sound of waves for the first time. The sound was both majestic and gentle, like a symphony of nature. My friends cheered while rushing towards the sea, and I rolled up my pants and cautiously walked in. The cool sea water soaked my ankles, and the waves lightly hit my skin, bringing an indescribable joy and novelty. We also rented a small boat to go out to sea, and the captain told us that dolphins can often be seen near the sea. After sailing on the sea for a while, several dolphins jumping in the distance caught our attention, and everyone exclaimed excitedly, eagerly picking up their phones to take photos. That day, we also tried beach volleyball and crab catching, and every moment was filled with laughter and excitement. As night fell, we sat on the beach watching the sunset. The orange red sunset dyed the sea golden, and the scenery was so beautiful that I didn't want to leave. The experience of seeing the sea for the first time painted a picture that will never fade in my memory."
00012.wav,Chinese,"This summer there was a World Cup held, and the team I support is Germany. Germany's performance in recent years has not been very good, so the outside world generally does not have a good view of them. However, I still support the German team because they have many players that I like, and I have been supporting the German team since 10 years ago. Mmm hmm. Well, in this year's group stage, the German team lost their first game to the very strong Spanish team in the same group, which cast a shadow on the fans of the German team and their psychology. However, in the following two matches, Germany, Lynk&Co, Japan, and Belgium successfully advanced to the next round as the second place team in the group. In the knockout stage of the quarter finals, the German team faced another group, the first Argentina, in their second group. The German team ultimately ended the game with a score of 4-0. Well, this score is undoubtedly a lot played. The fans who are not optimistic about the face of the German team, because the German team advanced to the quarter finals with a very beautiful victory. Then, in the quarterfinals, they went cold and defeated the favorite Brazilian team 2-1, successfully advancing to the quarterfinals. They also defeated the group stage team, which they had previously lost to, and the Spanish team, which they had previously lost to in the group stage. Eventually, they advanced to the finals, which made many people think that the German team was a dark horse in this World Cup. However, I believe that the German team only showed their normal strength. In the final, the German team faced the former World Cup champion Italy, but their skills have also declined in recent years. Faced with the fierce attack of the German team, the Italian team ultimately lost the game 0-3. The German team finally lifted the long-awaited trophy and won the World Cup. This makes me very happy because I support the German team. I am very happy that they won the championship. So this is my story."
00013.wav,Chinese,"A few years ago, I traveled to Europe and specifically chose Paris, France. Paris is the city I have always longed for, full of romantic atmosphere and strong artistic atmosphere. It was a sunny afternoon, and I decided to explore the city center and enjoy the charm of this city. However, due to insufficient route planning in advance, I got lost on a strange street, my phone ran out of battery and couldn't be used, and to make matters worse, I don't understand French at all, so I don't know how to communicate with the locals. I stood on the roadside feeling a bit flustered and didn't know what to do. Just as I was feeling anxious, a middle-aged man walked up to me. He looked very friendly, wearing simple clothes and smiling. Seeing that I was a bit confused, he took the initiative to ask if I needed help. Seeing his smile, I felt a sense of peace of mind. So I told him that I was lost, my phone was out of battery, and I couldn't find my way back to the hotel. He smiled and said, 'No problem, come with me.'. This stranger didn't hesitate at all and decided to help me. He took me to a nearby caf é, charged me, and used simple gestures and English to tell me how to take the subway back to the hotel. He even sat down with me to chat and buy me a cup of coffee. Although we didn't speak the same language, we successfully established communication through body language and smiles. At this moment, I feel like I am no longer a lonely tourist, but rather receiving warm care from others. Through this experience, I deeply understand that kindness between people transcends culture and language. Sometimes a stranger's smile and kindness can make us feel incredibly warm and grounded. That stranger not only helped me solve the problem, but also made me believe again that friendship between people can be easily established in unfamiliar environments."
00014.wav,Chinese,"In 2017, I went back to my hometown and on the first day, we visited an old man's house. During our conversation, we learned that the old man's calligraphy was particularly good. When I heard this news, I became very interested. The master saw how interested I was and enthusiastically led me to visit his study. As soon as I entered, I saw many beautiful and magnificent handwriting hanging on the wall. I was so surprised that I opened my mouth wide and couldn't help but sigh. I also wanted to write such beautiful words. The master immediately took out a piece of rice paper and started writing. I saw his momentum like a rainbow, his writing was very decisive, and after laughing a few times, he wrote a few words at will. Upon closer inspection, I noticed the words' Endless Learning 'written on the paper. At this moment, my grandfather spoke earnestly to me,' Learning is endless on a child's life journey. You should always maintain a humble and eager to learn attitude in all aspects of life, including acquiring knowledge, improving personal cultivation, and so on. You should not be arrogant or complacent, but continue to pursue more knowledge and higher realms. It is like writing calligraphy with a brush. Every day, I write an extra painting, which will bring me an additional sense of connection. There will always be new things waiting for you to learn and discover. '. I can write such excellent fonts now without my daily learning. Even now, I am still constantly learning and improving. Speak up, the old man gave me that word, which deeply touched me and made me determined to study hard and make progress every day."
00015.wav,Chinese,"During the National Day holiday, our dormitory planned to travel to Japan, filled with anticipation and curiosity about the unknown world. This was also my first time traveling abroad, and my passport, as a symbol of my identity, was naturally regarded as the most important luggage and carefully kept. When we arrived at Tokyo Narita Airport, I was quickly drawn to the hustle and bustle of the city. From the tranquility of Asakusa Temple to the hustle and bustle of Shibuya, every place is filled with the charm of exploration. I am immersed in the joy of shopping, especially in Akihabara where the electronic products and anime merchandise make me linger, especially my favorite Conan. However, just as I was about to return to my hotel in the new district with a full load, I unfortunately came. On the way back to the hotel, I didn't realize that the zipper of my backpack had been quietly unzipped. It wasn't until I was about to check in that I realized my passport, along with some cash and personal belongings, had been lost. At that moment, my heart was completely filled with fear and anxiety. Without my passport, it meant that my next trip would be in trouble. I quickly calmed down and sought help from the front desk. They not only provided comfort, but also quickly helped me contact the local police station. With the assistance of the police, I began the tedious reporting process and also sought help through the emergency contact information of the Chinese Embassy in Japan. The embassy staff are very professional, they guided me on how to prepare the relevant materials and informed me of the specific steps for reissuing travel documents. During the days waiting for new travel documents, I had to temporarily interrupt my original travel plan and stay in Tokyo. Although it made me feel frustrated, it also gave me the opportunity to experience local life more deeply. I have communicated with travelers from all over the world, sharing their stories with each other. This experience has brought me different friendships. After several days of hard work with the government, I finally obtained a temporary passport and was able to continue my journey in Japan. Although the loss of my passport made me very scared, it also taught me an important lesson, which is that no matter where I am, I cannot relax my security awareness. Although this experience was full of twists and turns, it also became an unforgettable and precious memory in my life journey. Finally, I returned to school within the designated time."
00016.wav,Chinese,"When I went to Shanghai, I was in college two years ago. When I first started college two years ago, I went to Shanghai alone. At that time, I had a sudden urge to go alone. Uh huh. Shanghai is a big city, and I have never been there before. I want to personally experience it. Ah, I went by sleeper. When I was in school in Beijing, I was still in the middle of the semester, so I took a sleeper and went to Shanghai alone. Then I visited many scenic spots. Well, Shanghai is a big city, but it also has many attractions. Well, mainly I want to experience the feeling of a big city. It feels like a big city. Ah, when I went there, I found that it really felt very different. The buildings in Shanghai are particularly tall and densely packed, taller than those in Beijing. Well, I feel like the people there give me a trendy and modern vibe. And there I also met a friend who was slightly older than me, a woman. She told me that she was a woman who had a relationship with fashion and fashion magazines. She worked there, and he was probably in his twenties, almost 30 years older than me. Well, we met at that clothing store, and then he saw my bag because it was my little decoration. He thought it was great, and we started chatting. That day, he also took me to a bar in Shanghai, where I met many of his friends. They are all very trendy and fashionable people. Uh huh. Right there, he treated me to a few drinks, and I really felt happy because it made me feel a very free and diverse culture in Shanghai. Uh huh. But we didn't leave any contact information afterwards, that's all. That afternoon and evening, after finishing my drink, I said goodbye to him and started my solo journey again. Well, I went there for two or three days, about three days, including my transportation time. However, I feel that the prices in Shanghai are very expensive. I want to eat a bowl of noodles there, and I have to pay 30 yuan, which is not like at home or in Beijing. The prices there are even more expensive than in Beijing, but I really like this city. Um, I spent two or three days traveling here alone, it was a very special experience. Well, I am both excited and have a very free feeling, a very fulfilling feeling, and a different feeling."
00017.wav,English,"We'll do the mountain mountain join union headquarters. In the corner of the haida, there is a small load that looks arena at first occurrence. This scary, the documents and electronic device on the table were on sofa and a few float closing shortage companies, forming a simple registry. However, the bookshelf in the corner is actually a movable security door. When my senior owns it. It rails a passage leading underground. When hide were lies, we've seen. This is a more like a planning counter covers for garbage, their basements in the center are three whistles as approached them and see the map of a long drawn city divide into various clothes on resume a complex a chance war. So this is your appreciation center. So as it's not only a contact.for the islands, but also our home, the computer and the screen you see a tools we use to collect an honest Information. Look, this by ride zone or under boss, host control where they contact various illegal activities, including sound, cyber knights, enhancements and slugging weapons, a blue. And so on the other hands, on the rule area of operation, where we strive to mount an order. I have never seen so many high tech device before. By the way, why is the broad hold here, too? What do you mean? Why is it here? Too? The front rows hide course is right here. Heard that the prison security department recently crawled on a horn under arresting Monday, key members severely waking there, but the leader of the broader in Longzhou city is the coming as slight champions in the du Kang and have heard that abroad host. President has been in heading for a long time, perhaps they said the profound opinions, and he is a rise of power."
00018.wav,English,"Last autumn, I visited Hangzhou with my friends. It was my first time there. And I was very excited. Hangzhou is famous for West Lake. So we went there on the first morning. The lake was very beautiful with mountains in the distance and boats floating on the water. The air was fresh, and the whale look like, uh, can't we rented a small boat and enjoyed the peaceful scattering? The boatman told us stories about the lake, like the ledges of the white stack. It was interesting to hear. And afternoon we are visit. Ok. We visited lececeo the temple was quiet and full of history. Tall trees, surrounded the area, and the smell of insects filled the air. He said, we saw many state and old. It is it was a peaceful place where we could rest and sing. The trip to Hangzhou was relaxing and fun. I will always remember. It's natural beauty. And uh delicious food."
00019.wav,English,"In may, this year, I visited fragrance hill with a friend. It's very hot in summer in Beijing, but luckily it was cloudy that day. The claws took part of hate the heat of us. So we didn't feel very hot. Fragrant hill. Hill was very beautiful. We chose the last step, a steep pass and started our mountain climbing journey, surrounded by many grain plants. I felt sufficient oxygen and my body seems to be lighter. On the way up to the mountain, we chatted and enjoy the uh scenery at the same time, feeling the happiness brought by aerobics, um, exercise. When we reached at the Top of the mountain, we found a place on uh in the long uh, path path line, uh, and sat down to rest many little sparrows appeared in front of us. I was a little surprise. I didn't expect that would there would be so many sparrows on such a high mountain? They didn't seems to be afraid of people either y even landed beside me, shaking its little hand lightly. It was very cute. However, the way down to the mountain was not that easy. After walking for a while, I already felt my legs shaking. I couldn't help saying that I lacked exercise in my daily life. After going down to the mountain, we had a meal and then went back to the school. I felt that although climbing the mountain was a little tired, it was very impossible."
00020.wav,English,"When I was in middle school, I joined a cultural exchange program that take me to the United States. It was my first time traveling abroad. And I was both nervous and excited. Our trip lasted 2 weeks. And during that time, we visited several cities, universities, and famous landmarks. One of the most memorable experiences was visiting Harvard University. The campus was exactly like what I have seen in movies. Historic buildings surrounded by lush greenery. I remember standing in front of the ironic winner library, taking photos and imagining what it would be like to study here. During our Guide tour, the student Guide shared fascinating stories of a life at Harvard, including the traditions and challenges, students, fates. Another unforgettable moment was when we visited Times Square in New York City, the bright lights, giant billboards, and the sheer energy of the place were overwhelming. However, one of the funniest incidents happened at local dinner. When I tried in order a Turkey sandwich, I accidentally said chicken instead. And when my order arrived, I was too embarrassed to correct it. So I just ate it critically. This trip was not only an opportunity to improve my English, but also a chains to learn about American culture, meet new friends. I step out of my comfort zone. It left a deep impression on me. I sparked my interest in studying abroad in the future."
00021.wav,English,"I want to share a story about my daily life. I'm a college student, and well, my days are simple. They are filled with my dream and melody. My day begins with the alarm, clocked in my dorm room. I quickly get up, fresh, up, and rush to the library. I love to the library. It's where my day of learning starts, sunlight, streams, so the windows and space spills onto my desk. Ok. As I opened my books and immersed myself in the ocean of the knowledge. At noon, I meet up with friends in the cafeteria. We enjoy lunch together while sharing funny stories and learning experiences. These relaxed conversations are the source of joy in my day. In the afternoon, I usually participate in extreme circular activities. Sometimes it's a basketball game. Um, sometimes it's students. Council meeting these activities re reached my college life. Um, in the evening, I take a walk on the compass, compass passes enjoying the last bit of peace. In the day, I use my phone to to capture the beautiful sunset or newly bloomed flowers by the roadside. These simple moments are precious memories for me. At night, I return to my dorm, organized my notes and prepare for the next day's classes. Before going to bed, I spend some time reading or writing in the in my journal, recording the details of the day. At the end of the story, I always look back on my every moment of the day when it's quiet at night. So each day seems ordinary. I know that this melodies of daily life were are waving into the most beautiful symbol of my life."
00022.wav,English,"The most crowded place i've ever been is Beijing underground, especially line ten, especially during the morning and evening rush hours. What's more torture is as I basically traveled, but underground every day, every morning and evening I squeezed into the underground with a car load of people. The metro is the fastest way to get there and still be on time. Since Beijing is a super metropolis and its resident population was statistically less than20 million years ago with a floating population of 20 million. So when you think about it this way, there are definitely not enough seats in the underground. Basically, everyone goes back and grab a seat at the moment. The door open. And it is interesting to note that in the morning and evening rush hours, if you try to get into a carriage, there's a funny way to say that all you have to do is close your eyes and you don't need to lift your legs before you squeeze into the carriage, and you don't have to worry about the lack of handrails because there are not enough people for you to stand without falling down. Even if you are not holding to other hamburgers, because others will push you and squeeze you in a firm place."
00023.wav,English,"Uh, winter of 2022. It was a Chinese new year. And our family follows, followed of hometown tradition to visit my grandma's house, which is also my mom's mom's place. The day was bright and sunny. Dad, mom. But my brother and I drove over to grandma's. We exchange new year, greeting with each other. Oh. And after the greetings, mom steeped some red envelopes to the little ones, little ones at the grandma's, and told them to study hard and work hard. A work hard in AA small voice. And meanwhile, my brother and I also got red envelopes slipped by my grandmother and uncle. Then we said, in the courtyard, it's okay. In the sunshine chat, chatting with each other. Certainly, sunrise suggested, hey, let's play some poker. I jumped up. Red boy and say, yes, I want to play. So I quickly um, got the poker call cos and there, we all dive into a gain of Boca. Uh, we we were all having so much fun."
00024.wav,English,"This national holiday, I went to Wuhan, East Lake to join a stay over activity. Nasa li. The plan revolved around hiking. East lake scenery is great, perfect for relaxing walks and deep conversations. At least at the beginning, I thought the tree was designed to bit. So we arrive at the guest house around noon on the first day. Someone stressed going for a fairway sport to catch the sunset. That sounds beautiful. So we so we go, we completely miscalculate the time and route on the halfway. We realize the the navigation have had let us into a dead end, forcing us to take a long day tour. Byebye. Well, we're all running out of that energy. Also, the clock was ticking. We walk along the road, but only finding one sharing shared back. But we have three people. So we let the most exhausted member to cycle ahead and buy the tickets. F fortunately, we arrive in time. Uh. The process was a little bit. Ok. Celtic boss MV. Ok. Finally, watch the sunset. All the efforts are uh, worth it. After that little adventure, we come to a realization that none of us were actually cut out for all the physical effect efforts. We really wanted was they sat down and talk. So the rest of our activity shift focus, instead of ambitious plans, we spend most of the time in the guest house, chatting from noon till midnight. Only when we fully talked out, did we finally heads back? Thoroughly satisfied?"
00025.wav,English,"Back in twenty, twenty. I went to visit my cousin in New York. I had been so excited about this trip because I hadn't seen her in years. And I'd never been to New York before. I spent week, weeks planning everything from the places we'd visit to the restaurants we try. But from the moment I landed, things started to go wrong. First, my flight was delayed by almost 6 hours. I was stuck at the airport, feeling tired and annoyed, waiting with no clear idea of when I'd get to leave. When I finally arrived in New York, I discovered that my luggage had been lost. I had to spend over an hour at the airport, filling out forms and talking to airline staff. But nobody could tell me when my bag would be found. When I finally got to my cousin's apartment, I was already in in a bad mood. I thought we'd had a nice dinner and catch up. But she told me she had to work late that evening. So I was left on my own in a strange city. I ordered some takeout, but it wasn't very good. And I spent the evening the evening feeling lonely and frustrated. The next day, my cousin suggested we visit Central Park. I thought this would be the highlight of the trip, but it wasn't, as soon as we got there, it started raining. We didn't have umbrellas. So we ended up getting soaked. The park, which I had always imagined as a beautiful and lively, just felt cold and empty. Sam. We got into an argument because she thought I was being negative about everything. The tension between us ruined the rest of the day. By the time I flew back home, I was completely exhausted and disappointed. I had spent so much time and effort planning this trip, but nothing has gone the way I had hoped. I couldn't wait to leave and just forget about the whole thing."
