filename,Language,text
00011.wav,Chinese,"小时候我一直生活在内陆城市，那里群山环绕，河流虽多，但从未见过真正的大海。
在我心中海是一个梦，一个充满蓝色和浪花的世界。去年暑假
我和朋友们计划了一次去海南的旅行，终于有机会实现了这个梦。
当飞机降落在三亚机场时，我迫不及待地想奔向海边。
第二天清晨我们早早起床，驱车前往三亚湾，当车子接近海岸线时，
我看到一片深蓝色的海洋出现在眼前，
它的广阔与平静让我屏住了呼吸，
阳光洒在海面上，像是铺了一层金粉，
我和朋友们迫不及待地下了车，
踩在柔软的沙滩上，感受着沙子从指缝间滑过的细腻触感。
但在海滩边我第一次听到了真实的海浪声，那种声音既磅礴又轻柔，
像是大自然的交响乐，
朋友们一边欢呼一边冲向海水，
我也卷起裤腿小心翼翼地走进去，
凉凉的海水浸湿了我的脚踝，
浪花轻轻拍打皮肤，
带来一种无法形容的快乐和新奇感。
我们还租了一艘小船出海，船长告诉我们
海域附近经常能看到海豚，
果然在海面上航行了一会儿后，
远处跳跃的几只海豚吸引了我们的目光，大家激动的叫了起来，
争先恐后地拿起手机拍照。
那天我们还尝试了沙滩排球和抓螃蟹，
每一刻都充满了欢笑和兴奋。
夜幕降临时，我们坐在沙滩上看日落，橘红色的夕阳将海水染成了金黄，
景色美得让我不愿离开。
这次第一次见到海的经历，
给我的记忆画了一幅永远不褪色的画卷。
"
00012.wav,Chinese,"今年夏天有举行了世界杯，
我支持的球队是德国，
德国最近几年的表现，德国队最近几年的表现一直不是很好，
所以外界普遍并不是看好他们，
但是呢我还是支持德国队，因为德国队有很多我喜欢的球员，
并且我从10年前就开始支持德国队了。
嗯哼。
嗯在今年小组赛中，德国队第一场输掉了
同组的非常强大的西班牙队，
这让德国队的球迷都蒙上了一层，心理上都蒙上了一层阴影。
但是呢后续的两场德国队、连克、日本
和比利时两支两支队伍最终成功以小组第二晋级出线。
在八强淘汰赛上，
德国队的小组第二面对的是另一组的小组，第一阿根廷，
德国队以4:0的
比分最终结束了比赛。
呃
这个比分无疑是打了很多。
不看好德国队
这个人的球迷的脸，
因为德国队以一场非常漂亮的胜利
晋级到了8强。
然后在8在4强比赛中
走的又凉又又
2:1战胜了夺冠的热门巴西队，
成功挺进了4强，
并且在半决赛中战胜了小组，
曾经输输给过的，在小组中曾在小组赛中曾经曾经输给过的西班牙队，
最终挺进了决赛，这让很多人都认为德国队是这次这次世界杯的一支黑马，
但我认为德国队只是展现出了他正常的实力而已。
在决赛上德国队面对的是曾经的世界杯霸主意大利队，
但是意大利队这几年其实技术也也有所下滑，
在面对德国队的猛烈进攻下，意大利队最终是以0:3输掉了比赛，
德国队终于捧起了久违的大力神杯，获得了这次世界杯的冠军，
这让我非常开心，因为我支持的是德国队，他获得了冠军我就非常开心。
所以这就是我的故事。
"
00013.wav,Chinese,"几年前我去了欧洲旅行，特地选择了法国巴黎。
巴黎是我一直向往的城市，充满了浪漫的气息和浓厚的艺术氛围，
那是一个阳光明媚的下午，
我决定去探索市区，
享受这座城市的魅力。
然而
由于没有提前做好充足的路线规划，
我在陌生的街道上迷路了，
手机也因为电量耗尽而无法使用，
更糟糕的是我一点也不懂法语，
所以不知道如何与当地人沟通。
我站在路边有些慌张，
不知道该怎么办。
正当我心里焦急时，
一个中年男子
走到我面前，
他看起来非常友善，
穿着简单的衣服面带微笑，
他看到我有些迷茫，就主动走上前询问我是否需要帮助，
看到他的笑容，我感到一丝安心。
于是我告诉他我迷路了，
手机也没电了，根本找不到回酒店的路。
他听后微笑着说，
没问题，跟我来吧。
这个陌生人没有丝毫犹豫，毫不犹豫地决定帮助我，他带着我走到附近的一家咖啡馆，
给我充电，并用简单的手势和英语告诉我怎么乘地铁回到酒店。
他甚至为了为我买了一杯咖啡，陪我坐下来聊了一聊了起来。
虽然我们之间语言不通，
但通过肢体语言和微笑，我们成功地建立了沟通。
这一刻我感觉自己不再是一个孤单的游客，而是受到了他人温暖的关怀。
通过这次经历，我深刻体会到人与人之间的善意是跨越文化和语言的，
有时候一个陌生人的一个微笑和善举可以让我们感到无比的温暖和踏实。
那位陌生人不仅帮助我解决了问题，还让我重新相信
在陌生的环境中，
人与人之间的友好是可以轻松建立的。
"
00014.wav,Chinese,"在2017年
我回了趟老家，
在第一天
我们去了一个老爷爷家里做客，
在交谈中得知
老爷爷的毛笔字写得特别好，
我一听
听到这个消息，
我便产生了极大的兴趣。
老爷见我如此感兴趣，
便兴致勃勃地领着我去他的书房里面参观。
我一进去
便看到
墙上有很多
漂亮且恢宏的字迹
挂在上面。
我被惊讶到
张大了嘴，
并且
不禁发发出了感慨，
我也想写出这么好看的字，
老爷随即便
拿出一张宣纸写了起来，
只见他气势如虹，
下笔十分果断，
且有任意
在
哈哈大笑了几声之后，
便写出了
几个字来。
我仔细一看，
发现
纸上面写着学无止境4个大字，
这时姥爷便语重心长地对我说道，
孩子
人生路上学无止境，
你应该在
生活的各个方面，
包括
对于知识的获取，
个人修养的提升
等等等等，
都应该始终保持着谦逊好学的态度，
不能骄傲自满，
应该持续的去追求更多的知识
和更高的境界，
是我们的
就像我
写毛笔字一样，
米，
我每天多写一幅画，
都会有
都会对我
带来多一种的感应，
永远都会有新的东西等待你去学习和发现。
我现如今
能写成这么优秀的字体，离不开我一天天的学习，
直到现在我仍在不在不断
学习，不断进步。
说吧，
老爷爷便把那幅字送给了我，
这件事也让我感触十分深刻，
也让我下定了决心，
好好学习，
天天向上。
"
00015.wav,Chinese,"在十一长假的期间，我们一个宿舍打算前往日本去旅行，
心中满载着对未知世界的期待和好奇，
这也是我首次
远行出国护照作为我身份的象征，自然被我视为最重要的行李，
小心翼翼地保管着。
当我们抵达了东京成田机场后，我迅速就被这座城市的繁华与活力吸引了。
从浅草寺的宁静到涩谷的喧嚣，每一处都充满了探索的魅力。
我沉浸在购物的乐趣中，尤其是在秋叶原
那里的电子产品和动漫周边让我流连忘返，尤其是
我最喜欢的柯南。
然而就在我满载而归准备返回位于新区的旅馆的时候
不不幸来了。
在回到旅馆的路上，我未曾察觉到背包的拉链已经被
悄然拉开，直到准备办理入住的时候，
才发现护照连同一些现金，还有随身物品都已经丢失了，在那一刻我的心简直
被恐惧和焦虑完全的占领，
没有护照，那么就意味着我接下来的旅行
将会陷入困境。
我迅速的冷静了下来向前台进行求助，他们不仅提供了安慰，而且还迅速帮我联系了当地的警察局。
在警方的协助下，我开始了繁琐的报案流程，
同时我也通过中国驻日本大使馆的紧急联系方式寻求帮助。
大使馆的工作人员非常专业，他们指导我如何准备相关材料，
并告知我补办旅行证件的具体步骤。
在等待新旅行证件的日子里，我不得不暂时中断了原定的旅行计划留在东京。
虽然这让我感到沮丧，但我也因此有机会更加深入的体验当地的生活。
我与来自世界各地的旅行者们交流，分享彼此的故事，
这段经历让我收获了不一样的友谊，
和government
经过几天的努力，我终于拿到了临时的护照，
得以继续我的日本之旅。
虽然护照丢失的这件事让我非常的
害怕，但是他也教会了我一个重要的教训，就是无论是在何处，
安全意识完全不能放松。
这次经历虽然充满了波折，但也成为了我人生旅途中一段难忘且宝贵的记忆。
最后在规定的时间内
回到了学校。
"
00016.wav,Chinese,"当我去上海的时候，
嗯我正在上大学，
就是前年吧，前年我刚上大学的时候，
我一个人独自去的上海，
嗯当时我就是心血来潮想一个人去。
嗯嗯。
上海是一个大城市，
然后我也从来没有去过，
我想亲自去感受一下。
啊
我是坐卧铺去的，从北京
当时我还在呃上学，
还在学期中，所以我坐卧铺，
一个人去了上海，
然后
我去参观了
很多景点。
嗯上海是一个大城市，但是它也有很多景点。
嗯主要我还是想感受一下，
就是这种
大城市的感觉。
就是对就是大城市的感觉。
啊去了那里，我发现真的是很不一样的感觉。
嗯
上海的
建筑
是特别的高，也特别密集，比北京都要高。
嗯然后那里的人我感觉他们带给我
带给我一种就是很潮流，而且很有新时代的一种感觉。
然后在那里我还
嗯结识的一位朋友，
就他他是一个
年纪稍比我大的人，是一个
嗯女性，她是一个
嗯她跟我说她是一个
就是在时尚跟时尚杂志
有关系，他在那里工作的一个
一个女性，
然后他大概是二十几岁，
快到30岁比我大几岁。
嗯我们是在那个一个服装店认识的，然后他就看到我的包，
因为我的包
就是我小小的装饰了一下，他觉得很棒，然后我们就开始攀谈，然后那天他还带我去了一个上海的酒吧，
然后
在那里我还跟他的
他的很多朋友
嗯也结识了一下，就是他们他们都是很很潮的一些人，很时尚的一些人。
嗯嗯。
就在那里，他们他请我喝了几杯酒，
然后
我真的感觉很快乐，因为
就是让我感觉到一种很自由很多元的一种文化在上海。
嗯嗯。
但是
之后我们也没有留下什么联系方式，
就是
就就这样子嗯。
就那天那天下午那天晚上，
喝完酒以后我就跟他告别了，我就又开始了我的
一个人的旅行。
嗯我我去了那那儿就是两三天的样子，
嗯大概三天吧，
就是包加上我
我坐车的时间，
嗯但是上海我感觉物价很贵，我在那里想吃一碗面条，我得要30块钱，
不像在我家里，也不像在北京，
嗯比比北京还要贵那里的物价，
但是我很喜欢这座城市。
呃嗯
我一个人在这里度过了
两三天
旅行，
这是一个很特别的经历。
嗯我
既激动也有一种很自由的感觉，
很充实的感觉，有一种别样的感觉。
"
00017.wav,English," We'll do
 the mountain mountain join union headquarters. 
In the corner of the haida, there is a small load that looks arena at first occurrence. 
This scary, the documents and electronic device on the table were on sofa and a few float closing shortage companies, 
forming a simple registry. 
However, the bookshelf in the corner is actually a movable security door. When my senior owns it. 
It rails a passage leading underground. 
When hide were lies, we've seen. 
This is a more like a planning counter covers for garbage, 
their basements
 in the center are three whistles
 as approached them and see the map of a long drawn city divide into various clothes on
 resume a complex a chance war. 
So this is your appreciation center. 
So as
 it's not only a contact.for the islands, but also our home, 
the computer and the screen you see a tools we use
 to collect an honest Information. 
Look, this by ride zone or under
 boss, 
host control where they contact various illegal activities, 
including sound, cyber knights, enhancements and slugging weapons, a blue. 
And so
 on the other hands, on the rule area of operation, 
where we strive to mount an order. 
I have never seen so many high tech device before. 
By the way, why is the broad hold here, too? 
What do you mean? Why is it here? Too? The front rows hide course is right here. 
Heard that the prison security department recently crawled on a horn under
 arresting Monday, key members severely waking there, but the leader of the broader in Longzhou city is the coming as slight champions in the du Kang and have heard that abroad host. 
President has been in heading for a long time, perhaps they said the profound opinions, 
and he is a rise of power. 
"
00018.wav,English," Last autumn, 
I visited Hangzhou with my friends. 
It was my first time there. 
And I was very excited. 
Hangzhou is famous for West Lake. 
So we went there on the first morning. 
The lake was very beautiful
 with mountains in the distance and boats floating on the water. 
The air was fresh, 
and the whale look like, 
uh, 
can't
 we rented a small boat and enjoyed the peaceful scattering? 
The boatman told us
 stories about the lake, 
like the
 ledges of the white stack. 
It was interesting to hear. 
And afternoon
 we are visit. 
Ok. 
We visited
 lececeo
 the temple was quiet and full of
 history. 
Tall trees, 
surrounded the area, 
and the smell of insects filled the air. 
He said, 
we saw many state and old. 
It is
 it was a peaceful place where we could rest and sing. 
The trip to Hangzhou was
 relaxing and fun. 
I will always remember. 
It's natural beauty. 
And uh
 delicious
 food. 
"
00019.wav,English," In may, this year, 
I visited fragrance hill
 with a friend. 
It's very hot in summer in Beijing, but luckily it was cloudy that day. 
The claws took part of hate the heat of us. 
So we didn't feel very hot. 
Fragrant hill. Hill was very beautiful. We chose the last step, a steep
 pass and started our mountain climbing journey, 
surrounded by many
 grain plants. 
I felt sufficient oxygen and my body seems to be lighter. 
On the way up to the mountain, we chatted and enjoy the
 uh scenery at the same time, 
feeling the happiness brought by aerobics, 
um, exercise. 
When we reached at the Top of the mountain, we found a place
 on uh in the long
 uh, path path line, 
uh, and sat down to rest
 many little sparrows
 appeared in front of us. I was a little surprise. 
I didn't expect that
 would there would be
 so many sparrows on such a high mountain? 
They didn't seems to be afraid of people either
 y
 even landed beside me, shaking its little hand lightly. 
It was very cute. 
However, the way down to the mountain was not that easy. 
After walking for a while, I already felt my legs shaking. 
I couldn't help saying that I lacked exercise in my daily life. 
After going down to the mountain, we had a meal and then went back to the school. 
I felt that although climbing the mountain was a little tired, 
it was very impossible. 
"
00020.wav,English," When I was in middle school, 
I joined a cultural exchange program
 that take me to the United States. 
It was my first time traveling abroad. 
And I was both nervous and excited. 
Our trip lasted 2 weeks. 
And during that time, we visited several cities, 
universities, 
and famous landmarks. 
One of the most memorable experiences
 was visiting Harvard University. 
The campus
 was exactly like what I have seen in movies. 
Historic buildings surrounded by lush greenery. 
I remember standing in front of the ironic winner library, 
taking photos
 and imagining what it would be like to study here. 
During our Guide tour, 
the student Guide shared fascinating stories of a life at Harvard, 
including the traditions and challenges, students, 
fates. 
Another unforgettable moment
 was when we visited Times Square
 in New York City, 
the bright lights, giant billboards, 
and the sheer energy of the place
 were overwhelming. 
However, 
one of the funniest incidents
 happened at local dinner. 
When I tried in order a Turkey sandwich, 
I accidentally said chicken instead. 
And when my order arrived, I was too embarrassed to correct it. 
So I just ate it critically. 
This trip was not only an opportunity to improve my English, 
but also a chains
 to learn about American culture, 
meet new friends. 
I step out of my comfort zone. 
It left a deep impression on me. 
I sparked my interest in studying abroad in the future. 
"
00021.wav,English," I want to share a story about my daily life. 
I'm a college student, and well, my days are simple. 
They are filled with my dream and melody. 
My day begins with the alarm, clocked in my dorm room. I quickly get up, fresh, up, 
and rush to the library. I love to the library. It's where my day of learning starts, sunlight, streams, so the windows and space spills onto my desk. 
Ok. 
As I
 opened my books and immersed myself in the ocean of the knowledge. 
At noon, I meet up with friends in the cafeteria. We enjoy lunch together while sharing funny stories and learning experiences. These relaxed conversations are the
 source of joy in my day. 
In the afternoon, I usually participate in extreme circular activities. 
Sometimes it's a basketball game. 
Um, sometimes it's students. 
Council meeting these activities re reached my college life. 
Um, in the evening, I take a walk on the compass, compass passes enjoying the last bit of peace. In the day, I use my phone to
 to capture the beautiful sunset or newly bloomed flowers by the
 roadside. These simple moments are precious memories for me. 
At night, I return to my dorm, 
organized my notes and prepare for the next day's classes. 
Before going to bed, I spend some time reading or writing in the in my journal, 
recording the details of the day. 
At the end of the story, I always look back on my every moment of the day when it's quiet at night. 
So each day seems ordinary. I know that this melodies of daily life were
 are waving into the most beautiful symbol of my life. 
"
